College Code,College Name,District,Type,EIIN,Address
6401,SAVAR GOVT. COLLEGE,DHAKA,Govt.,108453,SAVAR
6402,DHAMRAI GOVT. COLLEGE,DHAKA,Govt.,107953,Dhamrai
6403,NABOJUG COLLEGE,DHAKA,Non Govt.,107954,KUSHURA
6404,JOYPARA COLLEGE,DHAKA,Non Govt.,108010,DOHAR
6405,GOVT. DOHAR NAWABGANJ COLLEGE,DHAKA,Govt.,108318,SHAMSABAD
6406,"ISPAHANI COLLEGE, RAMERKANDA",DHAKA,Govt.,108116,RAMERKANDA
6407,KERANIGANJ MAHILA COLLEGE,DHAKA,Non Govt.,108117,AMBAGICHA
6408,DHAKA CITY COLLEGE,DHAKA,Non Govt.,107975,DHANMONDI
6409,MIRPUR GIRLS IDEAL COLLEGE,DHAKA,Non Govt.,,MIRPUR-10
6410,NEW MODEL DEGREE COLLEGE,DHAKA,Non Govt.,108250,SUKRABAD
6411,GOVT. MUSIC COLLEGE,DHAKA,Govt.,108249,SHER-E-BANGLA NAGOR
6413,ADAMJEE CANTONMENT COLLEGE,DHAKA,Non Govt.,107855,DHAKA CANTONMENT
6414,DR. MALEKA COLLEGE,DHAKA,Non Govt.,107972,"7/A, DHANMONDI"
6415,PALLABI MOHILA DEGREE COLLEGE,DHAKA,Non Govt.,108334,"12/E, PALLABI"
6416,SIDDHESWARI COLLEGE,DHAKA,Non Govt.,108353,MOGHBAZAR
6417,UTTARA ANWARA MODEL COLLEGE,DHAKA,Non Govt.,108565,DAKHANKHAN
6418,GOVT. BIGGYAN COLLEGE,DHAKA,Govt.,108535,Farmgate-Tejturi Bazar Rd
6421,IDEAL COLLEGE,DHAKA,Non Govt.,107971,Dhanmondi
6422,TEJGAON COLLEGE,DHAKA,Non Govt.,108533,"16, INDIRA ROAD"
6424,AHSANULLAH INSTITUTE OF INFORMATION & COMMUNICATION TECH.,DHAKA,Non Govt.,,Pallabi
6425,SK. BORHANUDDIN COLLEGE,DHAKA,Non Govt.,108137,"62, NAZIMUDDIN ROAD"
6428,RAMPURA EKRAMUNNESSA COLLEGE,DHAKA,Non Govt.,108034,"463, DIT ROAD"
6430,RIZAUL KARIM CHOWDHURY COLLEGE,DHAKA,Non Govt.,107910,"10/F, SAIDABAD"
6431,T & T COLLEGE,DHAKA,Non Govt.,108585,MOTIJHEEL
6432,NOTRE DAME COLLEGE,DHAKA,Non Govt.,108274,MOTIJHEEL
6433,KHILGAON MODEL COLLEGE,DHAKA,Non Govt.,108385,KHILGAON CHOWRASTA
6434,SALIMULLAH COLLEGE,DHAKA,Non Govt.,108510,TIPU SULTAN ROAD
6438,DHAKA COMMERCE COLLEGE,DHAKA,Non Govt.,108207,MIRPUR
6439,ABUDHARR GHIFARI COLLEGE,DHAKA,Non Govt.,108272,MALIBAGH
6442,TEJGAON MAHILA COLLEGE,DHAKA,Non Govt.,108536,TEJGAON
6443,CENTRAL WOMENS COLLEGE,DHAKA,Non Govt.,108512,ABHOY DAS LANE
6444,UNIVERSITY WOMENS FED. COLLEGE,DHAKA,Non Govt.,107976,DHANMONDI
6446,MOHAMMADPUR MAHILA COLLEGE,DHAKA,Non Govt.,108255,NOORJAHAN ROAD
6447,LALMATIA GOVT. MAHILA COLLEGE,DHAKA,Govt.,108251,LALMATIA
6448,SIDDHESWARI GIRLS COLLEGE,DHAKA,Non Govt.,108352,"148, NEW BAILY ROAD"
6449,SHEIKH FAZILATUNNESSA GOVT. MOHILA COLLEGE,DHAKA,Govt.,108212,"SECTION-2, MIRPUR"
6450,MIRZA ABBAS MOHILA COLLEGE,DHAKA,Non Govt.,108275,"83/1, SHAHJAHANPUR"
6451,DHAKA WOMENS COLLEGE,DHAKA,Non Govt.,108563,SECTOR NO-7
6455,FAZLUL HAQUE MAHILA COLLEGE,DHAKA,Non Govt.,108511,12- AKHAYA DAS LANE
6456,DANIA COLLEGE,DHAKA,Non Govt.,107909,"DANIA, JATRABARI"
6457,MIRPUR COLLEGE,DHAKA,Non Govt.,108206,"SECTION-2, MIRPUR"
6458,MOHAMMADPUR KENDRIYA COLLEGE,DHAKA,Non Govt.,108254,NOORJAHAN ROAD
6459,HABIBULLAH BAHAR COLLEGE,DHAKA,Non Govt.,108351,7/8 NOW RATUN COLLONY
6460,HAZI SALIM DEGREE COLLEGE,DHAKA,Non Govt.,108156,"HAJI BALLU ROAD, RAHMATGONJ"
6462,KOLATIA COLLEGE,DHAKA,Non Govt.,108115,"KALATIA, KERANIGONG"
6464,DHAKA MOHANAGAR MOHILA COLLEGE,DHAKA,Non Govt.,108509,6 NO SUVASH BOSH AVENUE
6465,B. D. R. COLLEGE,DHAKA,Non Govt.,,"Pillkhana, Newmarket"
6466,SARDAR SURUZZAMAN MAHILA COLLEGE,DHAKA,Non Govt.,108568,DAKHINKHAN
6467,KANCHKURA COLLEGE,DHAKA,Non Govt.,108566,"KANCHKURA, UTTARKHAN"
6468,T & T ADARSHA MAHILA COLLEGE,DHAKA,Non Govt.,108036,MOHAKHALI
6469,"INSTITUTE OF SCIENCE & TECHNOLOGY, DHANMONDI",DHAKA,Non Govt.,,Dhanmondi R/A
6471,"INSTITUTE OF SCIENCE TRADE & TECHNOLOGY, PANTHAPATH",DHAKA,Non Govt.,,MIRPUR
6476,BHUIYAN ACADEMY,DHAKA,Non Govt.,,Dhanmondi
6477,A. K. M. RAHMATULLAH COLLEGE,DHAKA,Non Govt.,108031,BERAID
6479,BANGLADESH INSTITUTE OF SCIENCE & TECHNOLOGY,DHAKA,Non Govt.,,NEW KAKRAIL ROAD
6480,B. K. S. P. COLLEGE,DHAKA,Non Govt.,134131,"ZIRANI, SAVAR"
6482,ASIAN INSTITUTE OF BUSINESS & TECHNOLOGY,DHAKA,Non Govt.,,ROAD # 15
6484,DAFFODIL INSTITUTE OF INFORMATION TECHNOLOGY,DHAKA,Non Govt.,,"64/3, LAKE CIRCUS KALABAGAN"
6485,GOVT. BANGABANDHU COLLEGE,DHAKA,Govt.,108211,SHAHIDBAG
6486,ALHAJ MOCKBUL HOSSAIN DEGREE COLLEGE,DHAKA,Non Govt.,108252,MOHAMMADPUR
6487,DHAKA IMPERIAL COLLEGE,DHAKA,Non Govt.,107974,JAHURUL ISLAM CITY
6489,PALLABI COLLEGE,DHAKA,Non Govt.,108335,DUARIPARA
6490,HAZRAT SHAH ALI MAHILA DEGREE COLLEGE,DHAKA,Non Govt.,108209,MIRPUR-1
6495,DHAKA STATE COLLEGE,DHAKA,Non Govt.,107981,NOORJAHAN ROAD
6497,NORTHERN COLLEGE BANGLADESH (NCB),DHAKA,Non Govt.,,MOHAMMADPUR
6505,UTTARA TOWN COLLEGE,DHAKA,Non Govt.,108564,UTTARA
6509,BGMEA INSTITUTE OF FASHION & TECHNOLOGY,DHAKA,Non Govt.,,"SR TOWER, SECTOR-7"
6510,ALHAJ ABDUL MANNAN COLLEGE,DHAKA,Non Govt.,108449,"GOHAIL BARI, BKSP"
6511,TOFAZZAL HOSSAIN CHOWDHURY COLLEGE,DHAKA,Non Govt.,108317,SHIKARIPARA
6512,"CENTRAL LAW COLLEGE, BIJOYNAGOR",DHAKA,Non Govt.,,BIJOYNAGOR
6513,DHAKA LAW COLLEGE,DHAKA,Non Govt.,,MOTIJHEEL
6514,CITY LAW COLLEGE,DHAKA,Non Govt.,,24 Agomoni Lane
6515,MIRPUR LAW COLLEGE,DHAKA,Non Govt.,,Mirpur 10
6516,JATIYA LAW COLLEGE,DHAKA,Non Govt.,,"Maghbazar, Ramna"
6517,GREEN VIEW LAW COLLEGE,DHAKA,Non Govt.,,Master Para Road
6518,MOHAMMADPUR LAW COLLEGE,DHAKA,Non Govt.,,8/A/9 Tajmahol Road
6519,FATEMA LAW COLLEGE,DHAKA,Non Govt.,,"Imam Ali Road, Gigatala"
6520,METTROPOLIS IDEAL LAW COLLEGE,DHAKA,Non Govt.,,"22, Indira Rd"
6521,BANGABANDHU LAW COLLEGE,DHAKA,Non Govt.,,"Motijheel, Dhaka"
6522,DEMRA LAW COLLEGE,DHAKA,Non Govt.,,Doni Kazla Noyanogor Damra
6523,JAN-E-ALAM SARKAR LAW COLLEGE,DHAKA,Non Govt.,,"KhilKhet, Dhaka"
6524,RUPNAGAR LAW COLLEGE,DHAKA,Non Govt.,,"15/47, Rd No. 15"
6526,DHANMONDI LAW COLLEGE,DHAKA,Non Govt.,,"Kalabagan 2nd Ln, Dhaka"
