University Name,City,Category,Website,Website Domain,Confidence,Source
Apex Professional University,Pasighat,University,https://www.apexuniversity.edu.in/,www.apexuniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Arunachal Pradesh University,Pasighat,University,https://apupsg.ac.in/,apupsg.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Central Institute of Himalayan Cultural Studies,West Kameng,University,https://cihcs.edu.in/,cihcs.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Indira Gandhi Technological and Medical Sciences University,Ziro,University,https://www.igtamsu.ac.in/,www.igtamsu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
North East Frontier Technical University,Along,University,https://www.neftu.edu.in/,www.neftu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
North Eastern Regional Institute of Science and Technology,Nirjuli,University,https://nerist.ac.in/,nerist.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
The Global University,Itanagar,University,https://www.tgu.ac.in/,www.tgu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Venkateshwara Open University,Itanagar,University,https://vou.ac.in/,vou.ac.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
"National Institute of Technology, Arunachal Pradesh",Yupia,Engineering College,https://www.nitap.ac.in/,www.nitap.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Rajiv Gandhi Government Polytechnic,Itanagar,Engineering College,https://rggp.ac.in/,rggp.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Tomi Polytechnic College,Basar,Engineering College,https://www.tomipoly.in/,www.tomipoly.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
North East Homeopathic Medical College,Itanagar,Medical College,,,low,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Tomo Riba Institute of Health and Medical Sciences,Naharlagun,Medical College,https://trihms.co.in/,trihms.co.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Arunachal Law Academy,Naharlagun,Law College,https://arunachallawacademy.com/,arunachallawacademy.com,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Jarbom Gamlin Govt Law College,Jote,Law College,https://jgglc.ac.in/,jgglc.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Arunachal Community College,Itanagar,Degree College,https://arunachalcommunitycollege.in/,arunachalcommunitycollege.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
College of Horticulture & Forestry,Pasighat,Degree College,http://www.chfcau.org.in/,www.chfcau.org.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Daying Ering College of Teacher's Education,Pasighat,Degree College,https://www.decte.in/,www.decte.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
"Don Bosco College, Itanagar",Itanagar,Degree College,https://dbcitanagar.ac.in/,dbcitanagar.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Donyi Polo Govt. College,Kamki,Degree College,https://dpgc.ac.in/,dpgc.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Dorjee Khandu Government College,Tawang,Degree College,https://dkgct.in/,dkgct.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Doying Gumin College,Pasighat,Degree College,https://dgcpasighat.in/,dgcpasighat.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
"Government College, Bomdila",Bomdila,Degree College,https://gcbdl.edu.in/,gcbdl.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
"Government College, Seppa",Seppa,Degree College,https://www.gmcseppa.com/,www.gmcseppa.com,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
"Government College, Yachuli",Yachuli,Degree College,https://www.gcyachuli.ac.in/,www.gcyachuli.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
"Government Degree College, Daporijo",Daporijo,Degree College,,,low,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
"Government Degree College, Doimukh",Doimukh,Degree College,https://gcdmk.ac.in/,gcdmk.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Hills College of Teacher Education,Naharlagun,Degree College,https://www.hcte.org/,www.hcte.org,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
"Indira Gandhi Govt. College, Tezu",Tezu,Degree College,https://iggc.org.in/,iggc.org.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
"Model College, Geku",Geku,Degree College,https://gmdcgeku.in/,gmdcgeku.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Rang Frah Govt. College,Changlang,Degree College,https://www.rfgc.in/,www.rfgc.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Siang Royal Academy,Pasighat,Degree College,https://www.siangroyalacademy.com/,www.siangroyalacademy.com,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
St Claret College,Ziro,Degree College,https://sccz.edu.in/,sccz.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
St. Francis De Sales College,Along,Degree College,https://www.sfscaalo.ac.in/,www.sfscaalo.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Tadar Taniang Govt. Degree College,Nyapin,Degree College,,,low,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
Wangcha Rajkumar Government College,Deomali,Degree College,https://www.wrgcollege.edu.in/,www.wrgcollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Arunachal_Pradesh
