University Name,City,Category,Website,Website Domain,Confidence,Source
Assam University,Silchar,Central University,http://www.aus.ac.in/,www.aus.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Assam
Tezpur University,Tezpur,Central University,https://www.tezu.ernet.in/,www.tezu.ernet.in,high,wikipedia:List_of_institutions_of_higher_education_in_Assam
"All India Institute of Medical Sciences, Guwahati",Changsari,INI,https://aiimsguwahati.ac.in/,aiimsguwahati.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Assam
"Indian Institute of Information Technology, Guwahati",Guwahati,INI,https://www.iiitg.ac.in/,www.iiitg.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Assam
Indian Institute of Management Guwahati,Guwahati,INI,https://www.iimg.ac.in/,www.iimg.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Assam
Indian Institute of Technology Guwahati,Guwahati,INI,https://www.iitg.ac.in/,www.iitg.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Assam
Indian Statistical Institute Tezpur,Tezpur,INI,https://www.isine.ac.in/,www.isine.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Assam
National Forensic Sciences University Guwahati Campus,Guwahati,INI,https://guwahati.nfsu.ac.in/,guwahati.nfsu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Assam
"National Institute of Design, Assam",Jorhat,INI,https://nidj.ac.in/,nidj.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Assam
"National Institute of Pharmaceutical Education and Research, Guwahati",Guwahati,INI,https://niperguwahati.ac.in/,niperguwahati.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Assam
"National Institute of Technology, Silchar",Silchar,INI,https://www.nits.ac.in/,www.nits.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Assam
"Central Institute of Technology, Kokrajhar",Kokrajhar,Deemed University,https://cit.ac.in/,cit.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Assam
