OrgID,University Name,Website Domain,Reclaim Login Page URL,Reclaim Terms of Use URL,Matched Via
3842900,Acharya Narender Dev College,"andc.du.ac.in, andcollege.du.ac.in",,,domain
3825536,Bharati College,bharati.du.ac.in,,,domain
10216292,"Bharati Vidyapeeth's College of Engineering, New Delhi","bharatividyapeeth.edu, bvcoend.ac.in",,,city
3825286,Bhaskaracharya College Of Applied Sciences,bcas.du.ac.in,,,domain
10293180,"Campus of Open Learning, University of Delhi","col.du.ac.in, sol-du.ac.in, sol.du.ac.in",,,phrase+city+domain
663976,Central University Of Haryana,cuh.ac.in,,,phrase+domain
5411058,Chaudhary Charan Singh University,"ccsuniversity.ac.in, imsnoida.com",,,phrase
664315,Choudhary Charan Singh University,ccsuniversity.ac.in,,,domain
3803294,Dayal Singh College,dsc.du.ac.in,,,domain
3815568,Delhi Metropolitan Education,dme.ac.in,,,city
664646,Delhi Pharmaceutical Sciences And Research University,dpsru.edu.in,,,city
5819165,Delhi University,du.ac.in,,,phrase+city+domain
3827330,Deshbandhu College,du.ac.in,,,domain
4870576,"Dr. B. R. Ambedkar National Law University, Sonipat, Haryana",dbranlu.ac.in,,,city
10272424,Dr. Bhim Rao Ambedkar College University Of Delhi,"bramb.du.ac.in, drbrambedkarcollege.ac.in",,,phrase+city
4781739,Dr. Bhimrao Ambedkar University,"dbrau.ac.in, dbrau.org.in, stu.aud.ac.in",,,domain
11287601,Dr. Bhimrao Ramji Ambedkar University Delhi Karampura Campus,"aud.ac.in, aud.delhi.gov.in",,,phrase+city
5967986,"Dyal Singh (P.G.) College, Karnal","dsckarnal.ac.in, dsckarnal.org",,,city
10216089,Faculty Of Medicine & Health Sciences SGT University,"sgtuniversity.ac.in, sgtuniversity.org",,,phrase
10147394,G. B. Pant Delhi Skill And Entrepreneurship University Okhla-III Campus,"dseu.ac.in, dseu.edu.in",,,city
664323,Gautam Buddha University,"ccc.gbu.ac.in, erp.gbu.ac.in, exams.gbu.ac.in, gbu.ac.in, pravesh.gbu.ac.in",,,phrase+domain
11301153,Gl Bajaj Institute Of Management,"glbim.org, glbitm.ac.in",,,phrase
10056492,"Government College Sector-9, Gurgaon",gcsector9.ac.in,,,city
10051885,Greater Noida Institute Of Technology,"gniot.net.in, gniotgroup.edu.in, gnitipu.in",,,city
3829110,"Greater Noida Institute Of Technology (Gautam Buddha Nagar, Uttar Pradesh)","gniot.net.in, gniotgroup.edu.in",,,city
5410415,Gurugram University,gurugramuniversity.ac.in,,,city
3804491,Hans Raj College,hansrajcollege.ac.in,,,domain
4637122,Hansraj College,hansrajcollege.ac.in,,,domain
3804623,"Hindu College (North, Delhi)",hinducollege.ac.in,,,city+domain
4832492,Iec College Of Engineering Greater Noida,"iec.edu.in, ieccollege.com",,,phrase+city
10306512,IGNOU Mumbai Regional Centre,"ignou.ac.in, rcmumbai.ignou.ac.in",,,acronym+domain
10200954,IIMT College of Engineering,"iimtcollege.edu.in, iimtindia.net, iimtindia.net.in, iimtu.edu.in",,,phrase
3830239,Iimt College Of Engineering,iimtindia.net,,,phrase+domain
664681,Iimt University,"iimtindia.net, vmsuniversity.in",,,phrase
10323650,Indira Gandhi National Open University - Bhopal Regional Centre,"ignou.ac.in, rcbhopal.ignou.ac.in",,,phrase+domain
10249121,Indira Gandhi National Open University - Regional Centre Kolkata,"ignou.ac.in, rckolkatta.ignou.ac.in",,,phrase+domain
10295532,Indira Gandhi National Open University Bhubaneshwar Regional Center,"ignou.ac.in, rcbhubaneshwar.ignou.ac.in",,,phrase+domain
10152555,Indira Gandhi National Open University Darbhanga Regional Centre,"ignou.ac.in, rcdarbhanga.ignou.ac.in",,,phrase+domain
10302408,Indira Gandhi National Open University Patna Regional Centre,"ignou.ac.in, rcpatna.ignou.ac.in",,,phrase+domain
10063062,"Indira Gandhi National Open University Regional Centre, Cochin","ignou.ac.in, rccochin.ignou.ac.in",,,phrase+domain
10282900,Indira Gandhi National Open University Regional Office,"ignou.ac.in, rcdelhi2.ignou.ac.in",,,phrase+domain
10282912,Indira Gandhi National Open University Srinagar Regional Centre,"ignou.ac.in, rcnagpur.ignou.ac.in",,,phrase+domain
10313815,Indira Gandhi National Open University Trivandrum,"ignou.ac.in, rctrivandrum.ignou.ac.in",,,phrase+domain
