University Name,City,Category,Website,Website Domain,Confidence,Source
Goa University,Goa,Universities,https://www.unigoa.ac.in/,www.unigoa.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
India International University of Legal Education and Research,Goa,Universities,https://www.iiuler.edu.in/,www.iiuler.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
Parul University Goa,Goa,Universities,https://goa.paruluniversity.ac.in/,goa.paruluniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
"Birla Institute of Technology & Science, Pilani - Goa Campus",Goa,Autonomous Institutes,https://www.bits-pilani.ac.in/goa/,www.bits-pilani.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
Goa Institute of Management,Goa,Autonomous Institutes,https://gim.ac.in/,gim.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
Indian Institute of Technology Goa,Goa,Autonomous Institutes,https://iitgoa.ac.in/,iitgoa.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
National Institute of Technology Goa,Goa,Autonomous Institutes,https://www.nitgoa.ac.in/,www.nitgoa.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
Carmel College for Women,Nuvem,General Education Colleges,https://carmelcollegegoa.org/,carmelcollegegoa.org,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
Cuncolim Educational Society's College of Arts & Commerce,Cuncolim,General Education Colleges,https://cescollege.ac.in/,cescollege.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
Dempo Charities Trust Dhempe College of Arts & Science,Panaji,General Education Colleges,https://dhempecollege.edu.in/,dhempecollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
Diocesan Society of Education's Rosary College of Commerce & Arts,Navelim,General Education Colleges,https://rosarycollege.ac.in/,rosarycollege.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
Dnyan Prabodhini Mandal's Shree Mallikarjun and Shri Chetan Manju Desai College,Canacona,General Education Colleges,https://shreemallikarjuncollege.ac.in/,shreemallikarjuncollege.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
"Dnyanprassarak Mandal's College, Assagao",Assagao,General Education Colleges,https://dmscollege.ac.in/,dmscollege.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
Dnyanvardhini Divyang Training College,Goa,General Education Colleges,https://www.ddtc.co.in/,www.ddtc.co.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
"Don Bosco College, Panjim",Panjim,General Education Colleges,https://donboscogoa.ac.in/,donboscogoa.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
Fr. Agnel College of Arts & Commerce,Pilar,General Education Colleges,https://www.fragnelcollege.edu.in/,www.fragnelcollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
Goa College of Agriculture,Goa,General Education Colleges,https://goacollegeofagriculture.edu.in/,goacollegeofagriculture.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
Goa College of Home Science,Panaji,General Education Colleges,http://goahomescience.gov.in/,goahomescience.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Goa
