University Name,City,Category,Website,Website Domain,Confidence,Source
APG Shimla University,Shimla,Universities,https://agu.edu.in/,agu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Arni University,Kangra,Universities,https://arniuniv.in/,arniuniv.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Atal Medical and Research University,Mandi,Universities,https://amruhp.ac.in/,amruhp.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Baddi University of Emerging Sciences and Technologies,Baddi,Universities,https://www.baddiuniv.ac.in/,www.baddiuniv.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Bahra University,Waknaghat,Universities,https://www.bahrauniversity.edu.in/,www.bahrauniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Career Point University,Hamirpur,Universities,https://cpuh.in/,cpuh.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Central University of Himachal Pradesh,Dharamsala,Universities,https://www.cuhimachal.ac.in/,www.cuhimachal.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,Palampur,Universities,https://www.hillagric.ac.in/,www.hillagric.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
"Chitkara University, Himachal Pradesh",Solan,Universities,https://www.chitkarauniversity.edu.in/,www.chitkarauniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Eternal University,Baru Sahib,Universities,https://eternaluniversity.edu.in/,eternaluniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Himalayan Group of Professional Institutions,Kala Amb,Universities,https://hgpi.in/,hgpi.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
"ICFAI University, Himachal Pradesh",Solan,Universities,https://iuhimachal.edu.in/,iuhimachal.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
IEC University,Solan,Universities,https://iecuniversity.ac.in/,iecuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Indus International University,Una,Universities,https://www.iiuedu.in/,www.iiuedu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Jaypee University of Information Technology,Waknaghat,Universities,https://www.juit.ac.in/,www.juit.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
"Maharishi Markandeshwar University, Solan",Solan,Universities,https://www.mmusolan.org/,www.mmusolan.org,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Manav Bharti University,Solan,Universities,https://www.manavbhartiuniversity.edu.in/,www.manavbhartiuniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Shoolini University,Solan,Universities,https://shooliniuniversity.com/,shooliniuniversity.com,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Sri Sai University,Palampur,Universities,http://www.srisaiuniversity.org/,www.srisaiuniversity.org,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Himachal Pradesh National Law University,Shimla,Autonomous Institutions,http://www.hpnlu.ac.in/,www.hpnlu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Indian Institute of Information Technology Una,Una,Autonomous Institutions,https://iiitu.ac.in/,iiitu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Indian Institute of Management Sirmaur,Sirmaur,Autonomous Institutions,https://www.iimsirmaur.ac.in/,www.iimsirmaur.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Indian Institute of Technology Mandi,Mandi,Autonomous Institutions,https://www.iitmandi.ac.in/,www.iitmandi.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
National Institute of Fashion Technology,Kangra,Autonomous Institutions,https://nift.ac.in/kangra/,nift.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
"National Institute of Technology, Hamirpur",Hamirpur,Autonomous Institutions,https://www.nith.ac.in/,www.nith.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
"University College of Business Studies, Himachal Pradesh University",Shimla,Govt University Departments,https://www.hpuniv.ac.in/innerpage/college-of-business-studies.php,www.hpuniv.ac.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
"University Institute of Information Technology, Himachal Pradesh University",Shimla,Govt University Departments,https://www.uithpu.ac.in/,www.uithpu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
AP Goyal Shimla University,Shimla,Engineering Colleges,https://agu.edu.in/,agu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Akal College of Engineering and Technology,Sirmour,Engineering Colleges,https://eternaluniversity.edu.in/,eternaluniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Arni School of Technology,Kangra,Engineering Colleges,https://arniuniv.in/,arniuniv.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Atal Bihari Vajpayee Government Institute of Engineering and Technology,Shimla,Engineering Colleges,https://abvgiet.ac.in/,abvgiet.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Chitkara School of Engineering and Technology,Solan,Engineering Colleges,https://www.chitkara.edu.in/,www.chitkara.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Dev Bhumy Institute of Engineering & Technology,Una,Engineering Colleges,https://www.dbgi.org.in/,www.dbgi.org.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
Green Hills Engineering College,Kumarhatti,Engineering Colleges,https://ghec.co.in/,ghec.co.in,high,wikipedia:List_of_institutions_of_higher_education_in_Himachal_Pradesh
