OrgID,University Name,Website Domain,Reclaim Login Page URL,Reclaim Terms of Use URL,Matched Via
3834578,"Ahmednagar Jilha Maratha Vidya Prasarak Samajs New Arts, Commerce & Science College","newartscollege.ac.in, newartscollege.com",,,city
10038757,All India Institute Of Medical Science Nagpur,"aiimsnagpur.edu.in, aimsnagpur.com",,,city
3824081,All India Shivaji Memorial Society's College Of Engineering,aissmscoe.com,,,domain
10082748,Bharat College Of Engineering – Badlapur,"bharatedu.co.in, bharatenggcollege.com",,,city
7586553,Bharati Vidyapeeth,"bharatividyapeeth.edu, bvuniversity.edu.in",,,phrase
10148408,"Bharati Vidyapeeth (Deemed to be University) Medical College, Sangli","bharatividyapeeth.edu, bvp.bharatividyapeeth.edu",,,phrase+city+domain
4778828,Bharati Vidyapeeth College Of Architecture Navi Mumbai,"bharatividyapeeth.edu, coarcmumbai.bharatividyapeeth.edu",,,phrase+city+domain
10151284,"Bharati Vidyapeeth College Of Engineering, Navi Mumbai",bvuniversity.edu.in,,,phrase+city
4544801,Bharati Vidyapeeth Deemed University College Of Engineering,bharatividyapeeth.edu,,,phrase+domain
10084334,Bharati Vidyapeeth Institute Of Management And Research,"bharatividyapeeth.edu, bharatividyapeethdistance.com, bvimsr.org, bvp.bharatividyapeeth.edu, bvuniversity.edu.in, mail.bharatividyapeeth.edu",,,phrase+domain
10041508,Bharati Vidyapeeth Institute of Technology,"bharatividyapeeth.edu, iotmumbai.bharatividyapeeth.edu",,,phrase+domain
10083102,"Bharti Vidyapeeth Dental College And Hospital, Navi Mumbai","bharatividyapeeth.edu, bvp.bharatividyapeeth.edu, bvuniversity.edu.in",,,city
10486061,Bombay Stock Exchange Institute Limited,"bsebti.com, bseindia.com",,,city
10567821,"Byramjee Jeejeebhoy Government Medical College And Sassoon General Hospitals, Pune","bjgmcpune.org, bjmcpune.org",,,city
3826798,"College Of Engineering (Amravati, Maharashtra)","coeonline.org, gcoea.ac.in",,,phrase+city
3827913,"D Y Patil College of Engineering, Ambi","dypcoeambi.com, dypiu.ac.in",,,phrase
3827280,Deccan College Of Engineering & Technology,deccancollege.ac.in,,,phrase
3827312,Deogiri College Aurangabad,deogiricollege.org,,,phrase+city+domain
664115,Dr. Babasaheb Ambedkar Marathwada University,"bamu.ac.in, bamua.digitaluniversity.ac, bamuadm.samarth.edu.in, hrdcbamu.edu.in, online.bamu.ac.in",,,phrase+city+domain
10235874,Dr. D Y Patil College of Engineering and Innovation,"dypcoei.edu.in, dypvp.edu.in",,,phrase
10057488,"Dr. D. Y. Patil Vidyapeeth, Pune","dpu.edu.in, dypsst.dpu.edu.in",,,city
6798342,"Dr. D.Y. Patil arts, Commerce and Science College","acnc.dypvp.edu.in, acs.dypvp.edu.in, acsjr.dypvp.edu.in, acsw.dypvp.edu.in, dypvp.edu.in, pacs.dypvp.edu.in, pacsjr.dypvp.edu.in, tacs.dypvp.edu.in",,,phrase
4821909,"Dy Patil School Of Enginering Acedamy, Ambi ,Pune",dypatiluniversitypune.edu.in,,,phrase+city
11260749,DY Patil University Online,"dpu.edu.in, dypatil.edu, dypatiledu.com, dypatilonline.com",,,phrase
3803386,"Elphinstone College (Mumbai, Maharashtra)","elphinstone.ac.in, mum.edu.in",,,phrase+city
7107785,"Goverment Medical College & Hospital, Jalgaon",gmcjalgaon.org,,,city
10059677,"Government Engineering College, Yavatmal","dtemaharashtra.gov.in, gcoey.ac.in",,,city
3828965,"Government Law College (Mumbai, Maharashtra)",glcmumbai.com,,,phrase+city
4816237,"Government Law College, Mumbai",glcmumbai.com,,,city
3804121,"Government Medical College (Nagpur, Maharashtra)","gmcnagpur.gov.in, gmcnagpur.org",,,phrase+city
10554439,"Government Medical College, Chhatrapati Sambhajinagar","aurangabad.gov.in, gmcaurangabad.com",,,city
3840814,Government Of Maharashtra Sydenham College Of Commerce & Economics,sydenham.ac.in,,,phrase
3814253,"Government Polytechnic (Pune, Maharashtra)",gppune.ac.in,,,phrase+city
3800847,"Government Polytechnic (Thane, Maharashtra)","dtemaharashtra.gov.in, gpthane.org.in",,,phrase+city
3814225,Government Polytechnic Mumbai,gpmumbai.ac.in,,,city
3814001,Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic - Nashik,"ggsf.edu.in, polytechnic.ggsf.edu.in",,,city
10306512,IGNOU Mumbai Regional Centre,"ignou.ac.in, rcmumbai.ignou.ac.in",,,city
4637136,"Institute Of Hotel Management, Mumbai",ihmctan.edu,,,city
10041863,"Institute Of Management And Entrepreneurship Development, Pune",bharatividyapeeth.edu,,,city+domain
3830597,"Jai Hind College, Basantsing Institute Of Science And J. T. Lalvani College Of Commerce & Shaila Gopal Raheja College Of Management",jaihindcollege.edu.in,,,phrase
5411968,jspm college of engineering pune,"jscoe.edu.in, jspmjscoe.edu.in",,,phrase+city
4793179,"K.K. Wagh Polytechnic, Nashik","kkwagh.edu.in, poly.kkwagh.edu.in",,,city
4813865,"Kai. P.R. Patil Utkarsha Madhyamik Vidyalaya & Junior College, Virar(W.)(VIVA College)","utkarshavidyalaya.org, vivacollege.org",,,city
3831205,"Kamla Nehru College (Nagpur, Maharashtra)",kamlanehrucollege.ac.in,,,phrase+city
3831304,"Kannada Sangha Pune's Kaveri College Of Arts, Science And Commerce","kannadasanghapune.org, kaveri.edu.in",,,city
3844333,Keraliya Samajam Dombivli's Model College,"model-college.com, model-college.edu.in",,,city
10042816,Kolhapur Institute of Technology,"kitcoek.in, kitimer.in",,,phrase+city
3831635,Kolhapur Institute Of Technology's College Of Engineering,kitcoek.in,,,phrase+city
663960,Krantiguru Shyamji Krishna Verma Kachchh University,"kskvku.ac.in, kskvku.digitaluniversity.ac",,,domain
3841970,Late Shri Vishnu Waman Thakur Charitable Trusts Bhaskar Waman Thakur College Of Science Yashvant Keshav Patil College Of Commerce Vidya Dayanand Patil College Of Arts,vivacollege.org,,,phrase
3843781,Maharashtra College Of Arts Science And Commerce,maharashtracollege.org,,,phrase
3833220,Maharashtra Education Society's Abasaheb Garware College Of Arts And Science,"garwarecollege.mespune.in, mespune.in",,,phrase
10203756,Maharashtra Institute of Medical Sciences & Research,"mimer.edu.in, mimsr.ac.in, mimsr.edu.in",,,phrase
6806195,Maharashtra Institute Of Technology,"btech21.mit.asia, mit.asia",,,phrase
664130,Maharashtra University Of Health Sciences,muhs.ac.in,,,phrase+domain
10325053,Mahatma Gandhi Mission Institute Of Health Sciences,"mgmmcvashi.in, mgmuhs.com",,,phrase
664132,Mahatma Phule Krishi Vidyapeeth,"mpkv-caast.ac.in, mpkv.ac.in",,,phrase+city
10208696,Malad Kandivli Education Society's College of Law. Mumbai,"mkescollegeoflaw.ac.in, nkc.ac.in",,,city
3803398,Marathwada Institute of Technology,"engg.mit.asia, mit.asia",,,city
3837661,Marathwada Mitra Mandal's Shankarrao Chavan Law College,"sclc.ac.in, sclc.edu.in",,,city
4815144,Mes Garware College Of Commerce,"gcc.mespune.in, mespune.in",,,phrase
664134,Mgm Institute Of Health Sciences,mgmuhs.com,,,phrase
10070049,MGM University Aurangabad,"ibt.mgmu.ac.in, iifl.mgmu.ac.in, iomr.mgmu.ac.in, ioss.mgmu.ac.in, mgmu.ac.in, sbas.mgmu.ac.in, udice.mgmu.ac.in",,,phrase+city
3834564,Modern Education Society's Ness Wadia College Of Commerce,nesswadiacollege.edu.in,,,phrase
10289674,Modern Education Society's Wadia College of Engineering (MESWCOE),"mescoe.mespune.org, mescoepune.org",,,phrase
664135,Mumbai University Mumbai,mu.ac.in,,,phrase+city+domain
10041360,Mumbai Veterinary College,"mafsu.in, mvc.ac.in, mvcmafsu.ac.in",,,city
10082112,"Narendra Kumar Prasadrao Salve Institute of Medical Sciences & Research Centre and Lata Mangeshkar Hospital, Nagpur","nkpsims.edu.in, nkpsims.in",,,city
10007249,NBN Sinhgad School of Engineering,"cms.sinhgad.edu, sinhgad.edu",,,phrase
3826212,"New Law College (Pune, Maharashtra)","bharatividyapeeth.edu, bvpnlcpune.org, bvuniversity.edu.in",,,phrase+city
6805776,Nmims,nmims.edu,,,phrase+acronym+domain
5441383,NMIMS Global Access School For Continuing Education,nmims.edu,,,phrase+acronym+domain
664137,North Maharashtra University,nmu.ac.in,,,phrase+domain
4817853,Nowrosjee Wadia College,nowrosjeewadiacollege.edu.in,,,phrase
3845231,Poona College Of Pharmacy,"bharatividyapeeth.edu, bvuniversity.edu.in, pcp.bharatividyapeeth.edu",,,domain
3835293,"Priyadarshini College of Engineering, Nagpur",pcenagpur.edu.in,,,phrase+city
3844340,"Progressive Education Society's Modern College Of Arts, Science And Commerce",moderncollegepune.edu.in,,,domain
10063365,Pune District Education Association's College Of Engineering,"pdeacoem.org, pdeapune.org",,,city
10072948,"Pune District Education Association's, Annasaheb Magar Mahavidyalaya, Hadapsar Pune","pdeaamcollege.edu.in, pdeampim.edu.in",,,city
3836169,R A Podar College Of Commerce & Economics,rapodar.ac.in,,,phrase
3838105,"Rajarshi Shahu Mahavidyalaya (Latur, Maharashtra)",shahucollegelatur.org.in,,,phrase+city
7590743,"Ramniranjan Jhunjhunwala College Of Arts, Science & Commerce (Autonomous)",rjcollege.edu.in,,,phrase+domain
5877765,Ramnivas Ruia College,ruiacollege.edu,,,domain
664149,Rashtrasant Tukadoji Maharaj Nagpur University,"nagpuruniversity.nic.in, rtmnu.net",,,phrase+city
664141,Sant Gadge Baba Amravati University,sgbau.ac.in,,,phrase+city+domain
664140,Savitribai Phule Pune University,"pun.unipune.ac.in, unipune.ac.in",,,phrase+city
3846380,Shikshan Prasark Mandals Ramnarain Ruia College,ruiacollege.edu,,,phrase+domain
664142,Shivaji University,unishivaji.ac.in,,,phrase+domain
4871228,"Shivajirao S. Jondhale College Of Engineering , Dombivli",shivajiraojondhalecoe.org.in,,,city
3834815,Shri Narsee Monjee College Of Commerce & Economics,nmcce.ac.in,,,phrase
11316299,Shri Ramdeobaba College of Engineering and Management,rknec.edu,,,phrase+domain
10209700,"Shri Vile Parle Kelavani Mandal's Institute Of Pharmacy, Dhule","svkm-iop.ac.in, svkm.ac.in",,,city
3833539,Shri Vile Parle Kelvani Mandals Mithibai College Of Arts Chauhan Institute Of Science And Amrutben Jivanlal College Of Commerce And Economics,mithibai.ac.in,,,phrase+domain
5819764,"SIES College Arts, Science and Commerce (Mumbai)","sies.edu.in, siesascs.edu.in",,,city
10206333,Sinhgad Academy of Engineering Kondhwa(Bk.),sinhgad.edu,,,phrase+domain
10158587,"Sinhgad Arts, Science & Commerce Colleges",sinhgad.edu,,,phrase+domain
3839448,Skn Sinhagad College Of Engineering Korti Tal Pandharpur Dist-Solapur,"sknscoe.ac.in, spspm.org",,,city
10437741,"SNDT WOMEN'S UNIVERSITY, MUMBAI","sndt.ac.in, svt.edu.in",,,city
11425274,SVKM's NMIMS,nmims.edu,,,phrase+acronym+domain
10044849,SVKM's NMIMS,nmims.edu,,,phrase+acronym+domain
10044850,SVKM's NMIMS,nmims.edu,,,phrase+acronym+domain
10044848,SVKM's NMIMS,nmims.edu,,,phrase+acronym+domain
11333012,SVKM's NMIMS deemed to be university Hyderabad,hyderabad.nmims.edu,,,phrase+acronym+domain
10147593,Swami Ramanand Teerth Marathwada University,srtmun.ac.in,,,phrase+city+domain
5412398,Symbiosis Centre For Distance Learning,scdl.net,,,phrase
3840922,Thakur Educational Trusts Thakur College Of Science And Commerce,tcsc.edu.in,,,phrase
3827183,The Bombay Salesian Society's Don Bosco Institute Technology,dbit.in,,,city
664150,Tilak Maharashtra Vidyapeeth,tmv.edu.in,,,phrase+domain
10078149,University of Mumbai,mu.ac.in,,,phrase+city+domain
3841996,"Vivekanand College (Kolhapur, Maharashtra)",vivekanandcollege.org,,,phrase+city
664152,Yashwant Rao Chavan Maharashtra Open University,"ycmou.ac.in, ycmou.digitaluniversity.ac",,,phrase+domain
10157215,Yashwantrao Chavan Maharashtra Open University,"ycmou.ac.in, ycmou.digitaluniversity.ac",,,phrase+domain
10486120,डिपार्टमेन्ट ऑफ़ एजूकेशन और एक्सटेंशन Savitribai Phule Pune University,unipune.ac.in,,,phrase+city+domain
10314799,डॉ. बाबासाहेब आंबेडकर तंत्रशास्त्र विद्यापीठ,dbatu.ac.in,,,domain
