University Name,City,Category,Website,Website Domain,Confidence,Source
"ICFAI University, Mizoram",Aizawl,University,https://www.iumizoram.edu.in/,www.iumizoram.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Mizoram State University,Lunglei,University,,,low,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Mizoram University,Aizawl,University,https://mzu.edu.in/,mzu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Mizoram Polytechnic Lunglei,Lunglei,Engineering College,https://polytechlunglei.mizoram.gov.in/,polytechlunglei.mizoram.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
"National Institute of Electronics and Information Technology, Aizawl",Aizawl,Engineering College,https://www.nielit.gov.in/aizawl/index.php,www.nielit.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
National Institute of Technology Mizoram,Aizawl,Engineering College,https://www.nitmz.ac.in/,www.nitmz.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Women's Polytechnic Aizawl,Aizawl,Engineering College,https://womenspolytechnicaizawl.edu.in/,womenspolytechnicaizawl.edu.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Mizoram College of Nursing,Aizawl,Medical College,https://mcon.mizoram.gov.in/,mcon.mizoram.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Regional Institute of Paramedical and Nursing Aizawl,Aizawl,Medical College,https://www.ripans.org/,www.ripans.org,medium,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Zoram Medical College,Aizawl,Medical College,https://zmc.edu.in/,zmc.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Mizoram Law College,Aizawl,Law College,https://mlc.mizoram.gov.in/,mlc.mizoram.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
"College of Veterinary Sciences and Animal Husbandry, Selesih",Aizawl,College,https://cvsccauaizawl.edu.in/,cvsccauaizawl.edu.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Aizawl College,Aizawl,College,https://gac.ac.in/,gac.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Aizawl North College,Aizawl,College,https://ganc.mizoram.gov.in/,ganc.mizoram.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Aizawl West College,Aizawl,College,https://www.gawc.edu.in/,www.gawc.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Champhai College,Champhai,College,https://www.champhaicollege.edu.in/,www.champhaicollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Hnahthial College,Hnahthial,College,https://hnahthialcollege.edu.in/,hnahthialcollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Hrangbana College,Aizawl,College,https://ghbc.edu.in/,ghbc.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government J. Buana College,Lunglei,College,https://jbc.edu.in/,jbc.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government J. Thankima College,Aizawl,College,https://jtc.edu.in/,jtc.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Johnson College,Aizawl,College,https://gjc.ac.in/,gjc.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Khawzawl College,Khawzawl,College,https://www.gkzc.edu.in/,www.gkzc.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Kolasib College,Kolasib,College,https://govtkolasibcollege.edu.in/,govtkolasibcollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Lawngtlai College,Lawngtlai,College,https://lawngtlaicollege.in/,lawngtlaicollege.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Mamit College,Mamit,College,https://mamitcollege.edu.in/,mamitcollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Saiha College,Saiha,College,https://saihacollege.edu.in/,saihacollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Saitual College,Saitual,College,https://govtsaitualcollege.edu.in/,govtsaitualcollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Serchhip College,Serchhip,College,https://gsc.edu.in/,gsc.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government T. Romana College,Aizawl,College,https://trcollege.edu.in/,trcollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Zawlnuam College,Mamit,College,https://www.gznc.edu.in/,www.gznc.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Government Zirtiri Residential Science College,Aizawl,College,https://gzrsc.edu.in/,gzrsc.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Helen Lowry College of Arts & Commerce,Aizawl,College,https://www.helenlowrycollege.in/,www.helenlowrycollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Kamalanagar College,Lawngtlai,College,http://www.gknc.in/,www.gknc.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Lunglei Government College,Lunglei,College,https://lgc.ac.in/,lgc.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
Pachhunga University College,Aizawl,College,https://pucollege.edu.in/,pucollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
"St. Xavier's College, Lengpui",Lengpui,College,http://sxclengpui.in/,sxclengpui.in,high,wikipedia:List_of_institutions_of_higher_education_in_Mizoram
