University Name,City,Category,Website,Website Domain,Confidence,Source
"ICFAI University, Chümoukedima",Chumoukedima,University,https://www.iunagaland.edu.in/,www.iunagaland.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Nagaland University,Lumami,University,https://nagalanduniversity.ac.in/,nagalanduniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
North East Christian University,Medziphema,University,https://necu.ac.in/,necu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
The Global Open University,Chumoukedima,University,https://www.nagaland.net.in/,www.nagaland.net.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Mon Medical College,Mon,Medical College,,,low,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Nagaland Institute of Medical Science and Research,Kohima,Medical College,https://nimsr.nagaland.gov.in/,nimsr.nagaland.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
National Research Centre on Mithun,Medziphema,Autonomous,https://nrcmithun.icar.gov.in/,nrcmithun.icar.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Alder College,Kohima,College,https://aldercollege.com/,aldercollege.com,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
"Baptist College, Kohima",Kohima,College,https://www.baptistcollege.in/,www.baptistcollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
C-Edge College,Chumoukedima,College,https://cedgecollege.org/,cedgecollege.org,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
"City College, Dimapur",Dimapur,College,https://citycollegedimapur.com/,citycollegedimapur.com,medium,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
"City Law College, Dimapur",Dimapur,College,,,low,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Cornerstone College,Dimapur,College,,,low,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Dimapur Government College,Dimapur,College,https://dimapurgovtcollege.in/,dimapurgovtcollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Eastern Christian College,Dimapur,College,https://eccnagaland.edu.in/,eccnagaland.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Fazl Ali College,Mokokchung,College,https://fac.ac.in/,fac.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Immanuel College,Dimapur,College,https://immanuelcollege.in/,immanuelcollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Japfü Christian College,Kohima,College,https://www.japfuchristiancollege.org/,www.japfuchristiancollege.org,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
KROS College,Kohima,College,https://kroscollegekohima.com/,kroscollegekohima.com,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Kohima College,Kohima,College,https://kohimacollege.ac.in/,kohimacollege.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Model Christian College,Kohima,College,https://modelchristiancollege.org/,modelchristiancollege.org,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
"Modern College, Kohima",Kohima,College,https://moderncollege.edu.in/,moderncollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Mokokchung Law College,Mokokchung,College,,,low,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Mount Mary College,Chumoukedima,College,https://mountmarycollege.org/,mountmarycollege.org,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Mount Olive College,Kohima,College,https://mtolivecollege.in/,mtolivecollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Mount Tiyi Government College,Wokha,College,https://mounttiyicollege.com/,mounttiyicollege.com,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Norman Putsure College,Chumoukedima,College,https://normanputsurecollege.org/,normanputsurecollege.org,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
North East Institute of Social Sciences,Chumoukedima,College,https://neissr.ac.in/,neissr.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
"Oriental College, Kohima",Kohima,College,https://orientalcollegekohima.in/,orientalcollegekohima.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Peren Government College,Peren,College,https://www.perengovtcollege.org/,www.perengovtcollege.org,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Pfütsero Government College,Pfutsero,College,https://pfutserocollege.in/,pfutserocollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Phek Government College,Phek,College,https://phekgovernmentcollege.com/,phekgovernmentcollege.com,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Pranabananda Women's College,Dimapur,College,https://pwcdimapur.com/,pwcdimapur.com,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
S. D. Jain Girls' College,Dimapur,College,https://sdjaingirlscollege.com/,sdjaingirlscollege.com,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
SALT College,Dimapur,College,https://saltchristiancollegenagaland.in/,saltchristiancollegenagaland.in,medium,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Sakus Mission College,Dimapur,College,https://smcollegedimapur.com/,smcollegedimapur.com,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Sao Chang College,Tuensang,College,https://saochangcollege.com/,saochangcollege.com,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Sazolie College,Kohima,College,https://sazoliecollege.in/,sazoliecollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
"St. John College, Dimapur",Dimapur,College,https://stjohncollege.in/,stjohncollege.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
"St. Xavier College, Jalukie",Jalukie,College,https://www.stxaviercollegejalukie.org/,www.stxaviercollegejalukie.org,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Tetso College,Chumoukedima,College,https://tetsocollege.edu.in/,tetsocollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Tuli College,Mokokchung,College,https://tulicollege.co.in/,tulicollege.co.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
"Unity College, Dimapur",Dimapur,College,https://unitycollegedimapur.com/,unitycollegedimapur.com,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Wangkhao Government College,Mon,College,https://wangkhaocollege.edu.in/,wangkhaocollege.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
Zünheboto Government College,Zunheboto,College,https://zunhebotogovtcollege.ac.in/,zunhebotogovtcollege.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Nagaland
