University Name,City,Category,Website,Website Domain,Confidence,Source
"All India Institute of Medical Sciences, Bathinda",Bathinda,Institutes of National Importance,https://aiimsbathinda.edu.in/,aiimsbathinda.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Dr. B. R. Ambedkar National Institute of Technology Jalandhar,Jalandhar,Institutes of National Importance,https://nitj.ac.in/,nitj.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Indian Institute of Management Amritsar,Amritsar,Institutes of National Importance,https://iimamritsar.ac.in/,iimamritsar.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
"Indian Institute of Science Education and Research, Mohali",Mohali,Institutes of National Importance,https://www.iisermohali.ac.in/,www.iisermohali.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
"Indian Institute of Technology, Ropar",Ropar,Institutes of National Importance,https://www.iitrpr.ac.in/,www.iitrpr.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
"National Institute of Pharmaceutical Education and Research, Mohali",Mohali,Institutes of National Importance,https://www.niper.gov.in/,www.niper.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Baba Farid University of Health Sciences,Faridkot,State Government Institutions,https://www.bfuhs.ac.in/,www.bfuhs.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Guru Nanak Dev University,Amritsar,State Government Institutions,https://www.gndu.ac.in/,www.gndu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Guru Ravidas Ayurved University,Hoshiarpur,State Government Institutions,https://graupunjab.org/,graupunjab.org,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Jagat Guru Nanak Dev Punjab State Open University,Patiala,State Government Institutions,https://psou.ac.in/,psou.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Maharaja Ranjit Singh State Technical University,Bathinda,State Government Institutions,https://mrsptu.ac.in/,mrsptu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Punjab Agricultural University,Ludhiana,State Government Institutions,https://pau.edu/,pau.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Punjab Sports University,Patiala,State Government Institutions,https://mbspsu.ac.in/,mbspsu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Punjabi University Guru Kashi Campus,Talwandi Sabo,State Government Institutions,http://pugkc.punjabiuniversity.ac.in/,pugkc.punjabiuniversity.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Rajiv Gandhi National University of Law,Patiala,State Government Institutions,https://www.rgnul.ac.in/,www.rgnul.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Shaheed Bhagat Singh State University,Firozpur,State Government Institutions,https://sbssu.ac.in/,sbssu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Sri Guru Teg Bahadur State University of Law,Tarn Taran,State Government Institutions,https://sgtbulawadmissions.org/,sgtbulawadmissions.org,medium,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Sant Longowal Institute of Engineering and Technology,Longowal,Deemed Institutions,https://sliet.ac.in/,sliet.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Thapar Institute of Engineering and Technology,Patiala,Deemed Institutions,https://www.thapar.edu/,www.thapar.edu,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
CT University,Ludhiana,Private Universities,https://www.ctuniversity.in/,www.ctuniversity.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Chandigarh University,Mohali,Private Universities,https://www.cuchd.in/,www.cuchd.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
"Chitkara University, Punjab",Rajpura,Private Universities,https://www.chitkara.edu.in/,www.chitkara.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
DAV University,Jalandhar,Private Universities,https://davuniversity.org/,davuniversity.org,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
GNA University,Phagwara,Private Universities,https://www.gnauniversity.edu.in/,www.gnauniversity.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
"Indian School of Business, Mohali",Mohali,Private Universities,https://www.isb.edu/,www.isb.edu,medium,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Rayat Bahra University,Mohali,Private Universities,https://rbuchd.in/,rbuchd.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Sri Guru Granth Sahib World University,Fatehgarh Sahib,Private Universities,https://sggswu.edu.in/,sggswu.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Sri Guru Ram Das University of Health Sciences,Amritsar,Private Universities,https://www.sgrduhs.in/,www.sgrduhs.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Universal Group Of Institutions,Mohali,Private Universities,https://www.ugi.ac.in/,www.ugi.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
BBK DAV College for Women,Amritsar,Degree Colleges,https://bbkdav.org/,bbkdav.org,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Baring Union Christian College,Batala,Degree Colleges,https://www.buccbatala.org/,www.buccbatala.org,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
"D.A.V. College, Jalandhar",Jalandhar,Degree Colleges,https://www.davjalandhar.com/,www.davjalandhar.com,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Indo Global Colleges,Abhipur,Degree Colleges,https://www.igef.net/,www.igef.net,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Kanya Maha Vidyalaya,Jalandhar,Degree Colleges,https://www.kmvjalandhar.ac.in/,www.kmvjalandhar.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Giani Zail Singh Campus College of Engineering & Technology,Bathinda,Engineering Colleges,http://gzscampus.ac.in/,gzscampus.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Guru Nanak Dev Engineering College,Ludhiana,Engineering Colleges,https://www.gndec.ac.in/,www.gndec.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
PEC University of Technology,Chandigarh,Engineering Colleges,https://pec.ac.in/,pec.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Ramgarhia Institute of Engineering and Technology,Phagwara,Engineering Colleges,https://www.riet.ac.in/,www.riet.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Shaheed Bhagat Singh State Technical Campus,Ferozepur,Engineering Colleges,https://www.sbsstc.ac.in/,www.sbsstc.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Yadavindra College of Engineering,Talwandi Sabo,Engineering Colleges,https://ycoe.ac.in/,ycoe.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Christian Medical College,Ludhiana,Medical Colleges,https://www.cmcludhiana.in/,www.cmcludhiana.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
"Government Medical College, Patiala",Patiala,Medical Colleges,https://gmcpatiala.edu.in/,gmcpatiala.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Guru Gobind Singh Medical College,Faridkot,Medical Colleges,https://ggsmch.org/,ggsmch.org,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
Punjab Institute of Medical Sciences,Jalandhar,Medical Colleges,https://pimsj.com/,pimsj.com,high,wikipedia:List_of_institutions_of_higher_education_in_Punjab
