University Name,City,Category,Website,Website Domain,Confidence,Source
All India Institute of Hygiene and Public Health,Kolkata,INI/Deemed/Research,http://aiihph.gov.in/,aiihph.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"All India Institute of Medical Sciences, Kalyani",Kalyani,INI/Deemed/Research,https://aiimskalyani.edu.in/,aiimskalyani.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Bose Institute,Kolkata,INI/Deemed/Research,https://www.jcbose.ac.in/,www.jcbose.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Central Glass and Ceramic Research Institute,Kolkata,INI/Deemed/Research,https://www.cgcri.res.in/,www.cgcri.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Central Inland Fisheries Research Institute,Barrackpore,INI/Deemed/Research,http://cifri.res.in/,cifri.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Central Mechanical Engineering Research Institute,Durgapur,INI/Deemed/Research,https://www.cmeri.res.in/,www.cmeri.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Central Research Institute for Jute and Allied Fibers,Barrackpore,INI/Deemed/Research,https://crijaf.icar.gov.in/,crijaf.icar.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Central Sericultural Research and Training Institute,Berhampore,INI/Deemed/Research,https://www.csrtiber.res.in/,www.csrtiber.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Indian Association for the Cultivation of Science,Kolkata,INI/Deemed/Research,https://www.iacs.res.in/,www.iacs.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Indian Centre for Space Physics,Kolkata,INI/Deemed/Research,https://csp.res.in/,csp.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Indian Institute of Chemical Biology,Kolkata,INI/Deemed/Research,https://www.iicb.res.in/,www.iicb.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,INI/Deemed/Research,https://www.iiests.ac.in/,www.iiests.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"Indian Institute of Information Technology, Kalyani",Kalyani,INI/Deemed/Research,https://iiitkalyani.ac.in/,iiitkalyani.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Indian Institute of Management Calcutta,Kolkata,INI/Deemed/Research,https://www.iimcal.ac.in/,www.iimcal.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"Indian Institute of Science Education and Research, Kolkata",Haringhata,INI/Deemed/Research,https://www.iiserkol.ac.in/,www.iiserkol.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Indian Institute of Technology Kharagpur,Kharagpur,INI/Deemed/Research,https://www.iitkgp.ac.in/,www.iitkgp.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Indian Maritime University Kolkata,Kolkata,INI/Deemed/Research,http://www.imukolkata.edu.in/,www.imukolkata.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
National Institute for Research in Bacterial Infections,Kolkata,INI/Deemed/Research,https://nirbi.org.in/,nirbi.org.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
National Institute of Biomedical Genomics,Kalyani,INI/Deemed/Research,https://www.nibmg.ac.in/,www.nibmg.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
National Institute of Natural Fibre Engineering and Technology,Kolkata,INI/Deemed/Research,https://ninfet.icar.gov.in/,ninfet.icar.gov.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"National Institute of Pharmaceutical Education and Research, Kolkata",Kolkata,INI/Deemed/Research,https://www.niperkolkata.edu.in/,www.niperkolkata.edu.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
"National Institute of Technical Teachers' Training and Research, Kolkata",Kolkata,INI/Deemed/Research,https://www.nitttrkol.ac.in/,www.nitttrkol.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Ramakrishna Mission Vivekananda Educational and Research Institute,Belur,INI/Deemed/Research,https://rkmvu.ac.in/,rkmvu.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
S. N. Bose National Centre for Basic Sciences,Kolkata,INI/Deemed/Research,https://www.bose.res.in/,www.bose.res.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
Saha Institute of Nuclear Physics,Kolkata,INI/Deemed/Research,https://www.saha.ac.in/,www.saha.ac.in,high,wikipedia:List_of_institutions_of_higher_education_in_West_Bengal
